成語,解釋,例句,注音,字義,近義詞,反義詞
勢不可當,來勢迅猛，不可抵擋。,地震引起的海嘯捲起滔天巨浪，勢不可當的衝撞沿海房舍。,勢不可檔,當：抵擋。,勢如破竹,
失魂落魄,像失去魂魄一樣。形容心神不寧、惶恐不安的樣子。,這次地震造成了嚴重災情，只見災民失魂落魄的站在殘破家園中，不知如何是好。,失魂落魄,,魂不守舍,
博物洽聞,指知識廣博，見識多。,,博物洽聞,洽：廣博。,,
真知灼見,正確而透澈的見解。,不愧是學有專精，他所提出的論點都是真知灼見,真知灼見,,,
別具隻眼,另有一種獨到的眼光和見解。,,別具隻眼,,別具慧眼,
別具慧眼,具有特殊的眼光或見解。,他當時獨排眾議，堅持買下這塊土地，如今看來，真可說是別具慧眼。,別具慧眼,,別具隻眼,
博聞強識,見識、學識廣博，記憶力強。,身為圖書館員，小李不僅愛書，更是博聞強識，總能快速找到書目。,博聞強制,聞：見聞。,博聞強記、博學多聞、博古通今,孤陋寡聞、才疏學淺
少見多怪,見識少的人遇見平常的事物也覺得十分驚奇，大為驚訝。,這種事經常發生，沒什麼稀奇，你就別少見多怪了。,少見多怪,,大驚小怪、蜀犬吠日,司空見慣、見怪不怪
望眼欲穿,快把眼睛望穿了。形容急切盼望。,快放暑假了，安安每天望眼欲穿。,望眼欲穿,,望穿秋水、眼穿腸斷,不聞不問、無動於衷、漠不關心
歸心似箭,形容想回家或返回原地的心情十分迫切。,老師一宣布放暑假，安安立刻歸心似箭，第一個衝出校門。,歸心似箭,,,
日上三竿,太陽升起離地已有三根竹竿的高度，指時間已不早了。多用來形容人起床晚。,暑假第一天，安安就睡到日上三竿。,日上三竿,,,
隨心所欲,一切都按照自己的心意，想做什麼就做什麼。,暑假裡，安安除了吃就是玩，整天隨心所欲。,隨心所欲,,,
天之驕子,老天特別寵愛的人，即為得天獨厚的人。現指才華出眾，備受重視的人。,他家境優渥，學業成績名列前茅，在公司又受老闆喜愛，真是天之驕子！,天之驕子,驕子：寵兒。「驕」注意不要寫成「嬌」。,,
異想天開,想要把天打開的奇異思想，原指不切實際的奇特想法，後也引申為奇特巧妙的想法。,我們偶爾需要一些異想天開的點子，才能為平淡無奇的生活增添新奇和樂趣。,異想天開,,,
鬱鬱蔥蔥,草木蒼翠茂盛的樣子。,山道旁古木參天，鬱鬱蔥蔥，連飄落的雨滴也似乎被這片山景染綠了。,鬱鬱蔥蔥,,,
姍姍來遲,形容緩慢晚來的樣子。,班上同學約好了放學後一起到班長家做科展海報，唯獨他一個人姍姍來遲。,姍姍來遲,姍姍：走得緩慢從容的樣子。,,爭先恐後
變化多端,形容變化很多，使人難以掌握。,小戴的球路變化多端，對手很難預料該如何防守，造就他每戰必勝的傳奇。,變化多端,端：方面、項目。,變幻莫測,
望穿秋水,把眼睛都望穿了。形容盼望得非常急切。,為了與自己的偶像見上一面，許多歌迷擠在電視臺門口望穿秋水地等待著，毫無怨言。,望穿秋水,秋水：比喻人的眼睛。,望眼欲穿,
翹首引領,形容殷切的期待。,,橋首引領,翹首：抬起頭。,,
翹足引領,踮起腳，伸長脖子，焦急的等待。形容熱切盼望。,,橋族引領,,,
夢寐以求,睡夢中都在尋找追求。形容迫切的願望。,這是多少人夢寐以求的職位，你怎能輕易放棄呢？,夢寐以求,,朝思暮想,
眼穿腸斷,形容盼望渴切，傷心極了。,,眼穿長段,,,
滿載而歸,裝滿了東西回來。形容取得很大的收穫。,旅行結束，爸爸和安安滿載而歸。,滿載而歸,,,
繪聲繪色,把人物的聲音、神色都描述出來。形容描述、描寫的生動逼真。,安安繪聲繪色的向媽媽和姊姊講起雲南的旅行見聞。,會生會色,,,
業精於勤,學業的精深造詣來自勤奮。,姊姊暑假裡每一天都按照進度表認真學習，真是業精於勤。,業精於勤,,,
玩物喪志,沉迷於玩賞喜好的事物而消磨了志氣。,安安每天玩物喪志，把暑假作業完全拋在腦後。,玩物喪志,,,
手忙腳亂,形容驚慌失措或做事忙亂，沒有條理。,明天就要開學了，安安手忙腳亂的拚命趕作業，他來得及完成嗎？,手忙腳亂,,,
不計其數,無法計算數量。形容極多。,在我們腳下的大地土壤中，生存著不計其數的生物，牠們的生活習性與地表常見的生物大不相同。,轐計其數,,不可勝數,屈指可數
一夫當關，萬夫莫敵,形容地勢險要，易守難攻。,這座險峻的峽谷居高臨下，往來道路只有這一條，頗有一夫當關，萬夫莫敵的氣勢。,義夫當關，萬夫莫敵,,,
熟能生巧,熟練了就能掌握技巧，運用自如，或找到竅門。,俗話說「熟能生巧」，只要不斷練習，就會有收穫。,熟能生巧,,游刃有餘,
左右為難,形容不管怎麼做都有困難或不盡完美。,石老師正為了挑選參加成語大賽的選手而左右為難。,左右為難,,進退兩難,左右逢源
喋喋不休,形容嘮嘮叨叨，說個不停。,王阿姨逢人就喋喋不休的誇讚自己兒子的成績有多好。,喋喋不休,,絮絮叨叨,三言兩語
悠然自得,形容悠閒從容，心情舒暢。,綠色的草原上，牛羊正悠然自得的吃草。,悠然自得,自得：自覺得意舒適。,,疲於奔命
飽食終日,吃飽了飯，整天什麼事情也不做。,他每天都很努力工作，不願意飽食終日，無所用心。,飽食終日,,游手好閒,
飛禽走獸,飛翔的鳥，奔跑的獸。泛指各種鳥獸。,仔細觀察大自然，一顆啃過的果實、一個隱約的足跡，都是飛禽走獸留下的線索。,飛禽走獸,禽：鳥。走：奔跑。,,
千真萬確,形容情況非常確定，不容置疑。,這個消息經過警方公開證實與宣導，千真萬確。,千真萬確,,,子虛烏有
原原本本,探求事情的詳細始末或根本。,為了追查出真正的犯人，他原原本本將事發經過詳細記錄下來，希望從中找出蛛絲馬跡。,原原本本,,從頭到尾,語焉不詳
從容不迫,非常鎮定、不慌不忙的樣子。,暑假結束前，姊姊從容不迫的完成了所有作業。,從容轐迫,,,
神色自若,神情態度仍和原來一樣，很鎮定的樣子。,不管遇到什麼困難，他都能夠神色自若地面對。,神色自若,自若：自然，不改常態。,,
處之泰然,遇到緊急狀況或困難，仍不慌不忙的應對。,他面對強敵，依然處之泰然，頗有大將之風。,處之泰然,,,
面不改色,表情沒有變化。形容遇到危險時，沉著鎮定。,大禍臨頭，他依舊面不改色。,面不改色,,,
安之若素,指身處逆境、遇到困難或遭受挫折時，能泰然面對，和平常一樣。,他任職多年，對上司吹毛求疵的壞脾氣，早已安之若素，不感驚訝。,安之若素,素：平素，往常。,,
垂頭喪氣,低著頭，無精打采的模樣。形容人情緒低落，意志消沉的樣子。,安安為了老師出的成語作業而煩惱，垂頭喪氣的走回家。,垂頭喪氣,垂：低著頭。,,
得意洋洋,形容非常得意的樣子。,安安舉手站起來，得意洋洋的說出許多「成語」。,得意洋洋,,,
百花齊放,形容各種花朵一起盛開。比喻事物繁華茂盛的樣子。,春秋戰國時期，社會上各種思想流派百花齊放，被稱為「諸子百家」。,百花齊放,,萬紫千紅,
和風細雨,溫和微風，柔細小雨。比喻態度溫和不粗暴。,媽媽平日對我說話如和風細雨般溫柔。,和風細雨,,,狂風暴雨
鶯歌燕舞,黃鶯鳴唱，燕子飛翔。形容大好春光或大好形勢。,春天到了，樹林裡鶯歌燕舞，春意盎然。,鶯歌燕舞,,,
鳥語花香,鳥兒啼叫，花兒飄香。形容春天迷人的景色。,春天到了，鳥語花香，正是遊園踏青的好時機。,鳥語花香,,,
玉不琢，不成器,玉不經過雕琢加工，就不能成為有用的器皿。比喻人不經過教育和培養，就不能成材。,天賦再好的運動員，也需要長時間的專業訓練才能成材，就像「玉不琢，不成器」的道理。,玉不琢，不成器,琢：雕刻。,,
挺身而出,毫不畏懼，勇敢站出來承擔責任。,安安看到有人欺負一隻小狗，挺身而出嚇跑了壞人。,挺身而出,,,
山明水秀,形容山水風景優美、明媚。,我的家鄉是個山明水秀的好地方。,山明水秀,,,窮山惡水
日積月累,一天天、數個月長時間不斷的累積。,學習要像滾雪球般的日積月累，才能學有所成。,日積月累,,積少成多,
自言自語,自己跟自己說話。,小松鼠覺得很奇怪，自言自語的說：「是誰把花生偷走了呢？」,自言自語,,喃喃自語,
千里之行，始於足下,千里遠的路程，都是從邁開腳的第一步開始。比喻任何事情都是由小而大，逐漸累積而成的。,想成為科學家並不簡單，「千里之行，始於足下」，從現在開始就要培養獨立思考、認真研究的精神了。,千里之行，始於足下,,,好高騖遠
百尺竿頭，更進一步,比喻即使達到極高的境界，仍須努力上進。,我們班今年獲選為「最佳班級」，老師在表揚全班同學時，也勉勵大家不要驕傲，應「百尺竿頭，更進一步」。,百尺竿頭，更進宜步,竿：竹竿，注意不要寫成「杆」。,,
垂涎欲滴,形容非常嘴饞。也比喻對別人的東西感到眼紅。,冰淇淋看起來真好吃，安安早就垂涎欲滴了。,垂涎欲滴,,,
震耳欲聾,耳朵快被震聾了，形容聲音極大。,安安上課打瞌睡，被石老師震耳欲聾的大吼嚇醒了。,震耳欲聾,,,
喜極而泣,高興到了極點而哭泣，形容非常高興。,小狗沒事，真是太好了！安安忍不住喜極而泣。,喜極而泣,,,
心灰意冷,灰心喪氣，意志低沉。,人生不如意之事十常八九，千萬不要遇到一點挫折就心灰意冷。,心灰意冷,,,
唉聲嘆氣,因傷心、愁悶或痛苦而發出嘆息。,眼看這個假期因下雨而泡湯，他不禁唉聲嘆氣。,唉聲嘆氣,,,
死氣沉沉,形容氣氛沉悶或沒有生氣。也形容意志消沉，精力衰退。,這幢老屋久沒人居住，看起來死氣沉沉的。,死氣沉沉,,,
有氣無力,形容一點力氣都沒有，無精打采的樣子。,他說話有氣無力的樣子，好像病得很嚴重。,有氣無力,,,
四海為家,「四海」泛指各處。原指帝王擁有四海，天下一家。後形容人四處飄泊，居無定所。,原來牠叫做蘇坡坡，是一隻四海為家的小狗。,四海為家,,,
出乎意料,事物發展在人們的料想之外。,小狗也沒想到有人類能聽懂牠說的話，真是出乎意料。,出乎意料,,,
目瞪口呆,睜大眼睛，說不出話來。形容因受驚、害怕或茫然而愣住的樣子。,這隻小狗竟然會說話！安安驚訝得目瞪口呆。,目瞪口呆,,,
學富五車,形容讀書多，知識淵博。,坡坡不是一隻普通的小狗，牠可是一隻學富五車的小狗！,學富五居,,,
不恥下問,樂於向學問或職位比自己低的人請教，也不覺得丟臉。,我們要抱持著不恥下問的精神來學習，千萬別不懂裝懂。,不恥下問,,,自以為是
妖魔鬼怪,妖怪和魔鬼。比喻各種邪惡勢力。,夜晚的樹林颳起大風，晃動的樹影彷彿是張牙舞爪的妖魔鬼怪。,妖魔鬼怪,,牛鬼蛇神,
千門萬戶,形容建築物規模龐大，門戶眾多。也指許許多多戶人家。,春節到了，千門萬戶紛紛張燈結綵，喜氣洋洋。,千門萬戶,,,
冰天雪地,冰雪漫天蓋地。形容天氣十分寒冷。,今年冬天特別冷，連近郊的陽明山也變成一片冰天雪地。,冰天雪地,,天寒地凍,
十年樹木，百年樹人,種植樹木需要十年時間，培育人才則須百年功夫。指培養人才是長久之計，也說明培養人才的不容易。,每位家長都希望自己的孩子能長大成材，但十年樹木，百年樹人，教養不能急於一時，唯有耐心的陪伴，孩子才能健康成長。,十年樹木，百年樹人,樹：種植、栽培。,,
落葉歸根,枝頭上的樹葉，凋落後墜地回到樹根。比喻人或事物總有一定的歸宿，多指客居他鄉的遊子最後仍會回到故鄉。,伯父旅居國外多年，晚年落葉歸根，回到了故鄉。,落葉歸根,,,離鄉背井
己所不欲，勿施於人,自己不願意的事情，不要施加到別人身上。,我們要學習換位思考，用同理心對待他人，也就是己所不欲，勿施於人。,己所轐欲，勿施於人,欲：想要。施：施加。,,強人所難
言而有信,說話誠實講信用。,爸爸從不輕易承諾，但只要一開口絕對會言而有信。,言而有信,信：信用、信義。,,言而無信
不以規矩，不成方圓,不用圓規和尺，就不能正確畫出圓形和方形。比喻做事要遵循一定的標準與原則。,俗話說：「不以規矩，不成方圓」，告訴我們要遵紀守法，做一個正正當當的公民。,不以規矩，不成方圓,規矩：圓規和尺，是畫圓和畫方的工具。,,
含苞待放,指花蕾即將綻放的狀態。也比喻少女的青春年華。,我在花圃裡看到一朵含苞待放的薔薇，真美啊！,含苞待放,,荳蔻年華,
博聞強記,見聞學識廣博，記憶力強。,總編最令人佩服之處就是能博聞強記，不但看的書多，並且過目不忘。,博聞強記,,,
博古通今,通曉古代和現代的事情。形容知識淵博。,王老師博古通今，上課時風趣幽默，內容豐富，很受學生歡迎。,博古通今,,博覽古今,才疏學淺、不學無術、孤陋寡聞、胸無點墨
博學多聞,學識廣，見聞多。,,博學多聞,,,
學貫中西,學問貫通中國和西方。形容知識淵博。,,學貫中西,,,
滿腹經綸,形容人很有治國的才幹或很有才學。,歷史上像諸葛亮既是滿腹經綸又足智多謀的人，並不多見。,滿腹經綸,經綸：整理絲線之意，引申為規劃、治理。,足智多謀、博學多才、滿腹經籍、學富五車,才疏學淺、不學無術、不識一丁、胸無點墨
居無定所,沒有固定居住的地方。形容生活飄泊不定。,他一向居無定所，你很難找得到他的。,居無定所,,,
萍蹤浪跡,浮萍隨水流飄泊不定。比喻人到處飄泊，無法掌握行蹤。,你又不大在家，知道你天天萍蹤浪跡，沒個一定的去處。,評宗浪跡,,,
無家可歸,連家都沒了，失去投奔歸依的地方。指無處安身依靠。,強烈地震造成嚴重災害，使得許多人無家可歸。,無家可歸,,,
浪跡天涯,在世界各地流浪。,他以賣藝為生，奔走四方，浪跡天涯。,浪跡天涯,,,
顛沛流離,形容生活困苦，四處流浪，無安身之所。,他好不容易找到了一份安定的工作，希望從此可以結束顛沛流離的生活。,顛沛流離,,,
風捲殘雲,大風捲走了殘餘的雲，比喻一下子就消失。,經過一整天的跋涉，大家飢腸轆轆，一見到晚餐便如風捲殘雲般把菜餚吃得一乾二淨。,風捲殘雲,,流離失所、斷梗飄蓬,安土重遷、安居樂業
大快朵頤,鼓動著腮頰吃東西。形容飽食愉快的樣子。,媽媽煮了滿桌的好菜，我又可以大快朵頤一番了。,大快朵頤,朵頤：鼓腮咀嚼食物的意思。,,
細嚼慢嚥,細細咀嚼食物，慢慢吞嚥。形容吃得很慢。,吃飯時應該細嚼慢嚥，才能幫助消化。,細嚼慢嚥,,,
飢不擇食,飢餓時不管什麼都吃。比喻需求緊迫，顧不得選擇。,他餓了好多天，飢不擇食，見了食物，便狼吞虎嚥起來。,飢不擇食,,寒不擇衣、渴不擇飲、慌不擇路,
飢不擇食,飢餓時不管什麼都吃。比喻需求緊迫，顧不得選擇。,他已失業半年，家徒四壁，所以什麼工作都願意做，真是飢不擇食。,飢不擇食,,寒不擇衣、渴不擇飲、慌不擇路,
千鈞一髮,古代的三十斤為一鈞，千鈞的重物只用一根頭髮繫著，形容事態極其危險。,一隻蟑螂忽然飛到媽媽面前，就在這千鈞一髮之際……,千鈞億髮,,九死一生、危如累卵、岌岌可危、間不容髮,安如泰山、安如磐石
斬釘截鐵,形容行事或發言堅決果斷，毫不猶豫。,家裡緊急召開家庭會議，媽媽斬釘截鐵的拒絕了安安收養小狗的請求。,斬釘截鐵,,,拖泥帶水、模稜兩可、優柔寡斷
各抒己見,各自發表自己的意見或見解。,爸爸、媽媽和姊姊各抒己見，一致反對留下小狗。,各抒己見,,,
搖尾乞憐,狗搖著尾巴，乞求主人的憐愛。形容人有所請求，卑躬屈膝，諂媚討好別人。,坡坡不停的搖尾乞憐。,搖尾乞憐,,低聲下氣,不卑不亢、昂首挺立、錚錚鐵骨
化險為夷,使危險的情況或處境轉變為平安無事。,坡坡一掌拍死了蟑螂，讓這場危機化險為夷。,化險為夷,,轉危為安,
心有餘悸,事情雖然過去，但回想起來心裡還是感到恐懼。,一家人談到剛才的危機，仍然心有餘悸。,心有餘悸,,,
惱羞成怒,由於羞愧惱恨而發怒。,小華被同學當面指出錯誤，惱羞成怒的開始頂嘴。,惱羞成怒,,氣急敗壞,心平氣和
有志者事竟成,只要有決心和毅力，立定志向去做，事情終究會成功。,在專為身心障礙者舉辦的帕拉林匹克運動會中，每位運動員都充分展現出「有志者事竟成」的鬥志。,有志者事竟成,竟：終於。,,
安居樂業,安定的生活，愉快的工作。形容人們生活安樂幸福。,經過先人的開墾，這片荒地已成為大家安居樂業的幸福家園。,安居樂業,,安身立命、安家立業,水深火熱、民不聊生、流離失所、顛沛流離
雲消霧散,雲和霧瞬間消散。形容心中的疑惑、誤會或某種情緒等得以化解、消除。,我們爬到山頂時，太陽正從山邊升起，雲消霧散，使得眼前一片開朗。,雲消霧散,,煙消雲散,
風雨交加,風雨同時來襲。形容天氣十分惡劣，也可以比喻多種災難同時降臨。,在那個風雨交加的夜晚，連樹林孤鳥都發出淒厲的嚎叫。,風雨交加,,,
雷電交加,天空中雷聲與閃電交錯出現。形容天氣極為糟糕。,我們在雷電交加中冒雨趕回家，全身都溼透了。,雷電交加,,,
神氣活現,形容神情得意傲慢的樣子。,他仗著自己和老闆有親戚關係，在公司裡總是神氣活現。,神氣活現,活現：逼真顯現。,,
搖頭擺尾,指動物擺動頭、尾的樣子。也形容人高興、得意或輕狂的神情。,我還沒進家門，愛犬飛飛就搖頭擺尾的衝出來迎接我。,搖頭擺尾,,,
風調雨順,風雨來得及時且剛好。形容豐年安樂，天下太平。,每年的媽祖繞境都吸引大批信徒參與，祈求風調雨順、闔家平安。,風調雨順,調：配合得均勻合適。,時和年豐,旱魃為虐
唇槍舌劍,嘴脣如槍，舌頭似劍。形容辯論激烈，言詞非常尖銳犀利。,兩位市長候選人在政見發表會上脣槍舌劍，說起話來毫不留情。,唇槍舌劍,,,
據理力爭,依據道理，努力爭辯或盡力爭取。,遇到不合理的事就應據理力爭，維護自己的權益。,據理力爭,,,
百家爭鳴,泛指各種言論思想發展蓬勃，互相論戰。,學術界的百家爭鳴正是學術自由發展的象徵。,百家爭鳴,,,
各執一詞,各人堅持各人的說法，意見不一致。,與會雙方各執一詞，究竟誰是誰非，還需進一步查證。,各執億詞,,,
莫衷一是,指分歧很大，各說各話，沒有一致的結論。,同學對畢業旅行的方式議論紛紜，莫衷一是。,莫衷宜是,衷：心中的想法。,眾說紛紜,異口同聲、眾口一詞
狼吞虎嚥,像狼和虎一樣吞嚥食物。形容大口吞食又急又猛的樣子。,安安惦記著門外的坡坡，狼吞虎嚥的把晚餐吃完了。,狼吞虎嚥,,,
提心吊膽,形容十分擔心、害怕，心神無法平靜。,安安提心吊膽的溜出門找坡坡，就怕被家人發現。,提心吊膽,,,
大吃一驚,形容很驚訝意外的樣子。,姊姊被坡坡從暗處中竄出的影子嚇了一跳，不由得大吃一驚！,大 吃億驚,,,
鬼鬼祟祟,形容行為偷偷摸摸，怕被人發現的樣子。,安安偷偷在塑膠袋裡塞滿紅燒肉，沒想到這鬼鬼祟祟的舉動全被姊姊看在眼裡。,鬼鬼祟祟,,,
得過且過,原指過一天算一天，能過得去就暫且繼續下去，不做長遠的打算。現在也指不求上進、不負責任，敷衍了事。,他從學校畢業後完全沒有規劃下一步，每天過著得過且過的生活。,得過且過,且：暫且。,,一絲不苟
不言不語,沉默不語，悶不吭聲，不愛說話。,王小明平日總是不言不語，不過只要一開口就能成為眾人的焦點。,不言不語,,默不作聲,口若懸河
隻言片語,零星片段的話語或詞句。,媽媽從妹妹的隻言片語中，猜出了他想買新的玩具。,隻言片語,隻：孤單的、個別的。片：零星。,,
三言兩語,很少的幾句話，形容言語簡潔。,小亮是說笑話的高手，三言兩語就能把大家逗得捧腹大笑。,三言兩語,三、兩：表示數量很少。,,千言萬語
千言萬語,形容話很多。,我和他是從小玩到大的朋友，千言萬語也說不盡我們之間的友情。,千言萬語,,,三言兩語
豪言壯語,豪邁雄壯且充滿氣魄的言語。,足球小將在出國參賽前，做出「稱霸世界、為國爭光」的豪言壯語。,豪言壯語,,,
沉默寡言,形容性格沉靜，極少說話。,他生性害羞，平日沉默寡言，只愛埋頭鑽研學問。,沉默寡言,,,滔滔不絕
甜言蜜語,甜美動聽的話語。,今天是母親節，大雄講了許多甜言蜜語逗媽媽開心。,甜言蜜語,,,
星星之火,細小的火苗。比喻微小的事情或起始。,再猛烈的大火，都是由星星之火所引起。,星星之火,星星：一點點的小火星。,,
四面八方,泛指周圍各地或各方面。,發生震災後，世界各地的物資從四面八方湧入。,四面八方,,五湖四海,
靈機一動,指忽然想出辦法或突然領悟。,安安靈機一動，可以請坡坡教自己成語啊！,靈機宜動,,,
裹足不前,有所擔心而停止腳步，不敢向前。,坡坡跟安安一起到他家附近，卻裹足不前。,裹足不前,,,
半信半疑,一半相信，一半懷疑。有點相信又有點疑惑，對事情的真假不敢肯定判斷。,坡坡對安安的保證感到半信半疑。,半信半疑,,,
飢腸轆轆,餓得肚子咕嚕咕嚕叫。形容非常飢餓。,坡坡如果接受安安的提議，就不用再過著飢腸轆轆的日子。,飢腸轆轆,,,
流離失所,形容到處流浪，無處安身。,坡坡回想過去流離失所的飄泊生活。,流離失所,,,
一言為定,一句話說定了，就不再更改與反悔。,坡坡終於決定和安安回家，他們打勾勾說：「一言為定！」,億言為定,,,
煙消雲散,形容事物消失得無影無蹤。,經過老師的耐心講解，我心中的疑惑頓時煙消雲散。,煙消雲散,,雲消霧散,
名山大川,有名的山脈和大河。,司馬遷年輕時曾遊歷天下的名山大川，增長了見聞，也開闊了胸襟。,名山大川,,,
奇形怪狀,不尋常又奇特怪異的形狀。,那些奇形怪狀的無名岩石，正等著你來為它們命名呢！,奇形怪狀,,怪模怪樣,
一枝獨秀,一枝花開得特別秀美。也比喻人或事物最為傑出，特別優異。,他的書法作品在眾多參賽作品中一枝獨秀，獲得了第一名。,億枝獨秀,,鶴立雞群,
名不虛傳,流傳開來的名聲不是虛假的。表示名聲與實際情況完全一致。,傳說「桂林山水甲天下」。這個暑假爸媽帶我去桂林旅遊，果真名不虛傳。,名不虛傳,,,徒有虛名
百聞不如一見,聽別人說一百次，不如親眼看一次。,兵馬俑世界聞名，但是百聞不如一見，親臨現場的感覺實在太震撼了！,百聞不如宜見,聞：聽到。,耳聽為虛、眼見為實,以耳為目
五光十色,形容色彩鮮艷，種類繁多，光彩耀眼。,許多串葡萄掛在綠葉之下，從淺紫、玫紅到深紫，五光十色，美麗極了。,五光十色,五、十：表示數量眾多。,,
坐井觀天,坐在井裡看天。比喻目光狹窄，見識不廣且侷限。,他雖然生活在封閉的小山村，卻沒有坐井觀天，而是透過不斷閱讀來開闊自己的視野。,坐井觀天,觀：看。,井蛙之見、以管窺天、以蠡測海、管中窺豹,見多識廣、高瞻遠矚
無邊無際,沒有邊界。指極為遼闊廣大。,我們頭頂上的天空無邊無際，遠比我們想像中的遼闊。,無邊無際,,,
